,area,baths,beds,parking,date,price,property_type,agent_name,school_list,agent_low_price,village_name,number,clean_price,price_k,price_per_m^2
2126,419.0,2.0,3.0,1.0,Organise an inspection,"$823,000",New House & Land,,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Klemzig Primary School"", ""school_distance"": ""1.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}]",800000,HILLCREST,5086,823000.0,823.0,1.964200477326969
2127,300.0,2.0,3.0,1.0,Organise an inspection,"$827,844",New House & Land,Jason Wear,"[{""school_name"": ""Avenues College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""1.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""1.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}]",800000,OAKDEN,5086,827844.0,827.844,2.7594800000000004
2129,448.0,2.0,3.0,1.0,Organise an inspection,"$808,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}, {""school_name"": ""Prospect North Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/prospect-north-primary-school-sa-5082-50403""}]",800000,ENFIELD,5085,808000.0,808.0,1.8035714285714286
2130,418.0,2.0,3.0,1.0,Organise an inspection,"From $815,000",New House & Land,Jason Loizou,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.8 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",800000,HAMPSTEAD GARDENS,5086,815000.0,815.0,1.9497607655502391
2134,351.0,2.0,4.0,2.0,"Saturday, 11:00am",$835k-$855k,House,Matt Lange,"[{""school_name"": ""Stradbroke School"", ""school_distance"": ""0.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/stradbroke-junior-primary-school-sa-5073-7414""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}]",800000,ROSTREVOR,5073,845000.0,845.0,2.4074074074074074
2200,837.0,2.0,4.0,4.0,"Wednesday, 5:00pm","$860,000",House,Debi Zecevich,"[{""school_name"": ""East Marden Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-marden-primary-school-sa-5074-6999""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",850000,FELIXSTOW,5070,860000.0,860.0,1.027479091995221
2210,207.0,1.0,3.0,3.0,Organise an inspection,"$895,000 - $925,000",House,Christopher Crosby,"[{""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Magill School"", ""school_distance"": ""1.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/magill-primary-school-sa-5072-7165""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""1.7 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",850000,TRANMERE,5073,910000.0,910.0,4.396135265700483
2214,619.0,3.0,4.0,2.0,Organise an inspection,"$890,000 - $920,000",Vacant land,Jonathon Kiritsis,"[{""school_name"": ""Norwood International High School"", ""school_distance"": ""0.8 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}, {""school_name"": ""Magill School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/magill-primary-school-sa-5072-7165""}]",850000,ROSSLYN PARK,5072,905000.0,905.0,1.4620355411954766
2215,619.0,2.0,3.0,1.0,"Saturday, 10:45am",$865k,House,Scott Moon,"[{""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""East Torrens Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-torrens-primary-school-sa-5073-7002""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""2.1 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",850000,MAGILL,5072,865000.0,865.0,1.3974151857835218
2216,468.0,2.0,4.0,2.0,Organise an inspection,$880k-$920k,Vacant land,Tom Hector,"[{""school_name"": ""Magill School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/magill-primary-school-sa-5072-7165""}, {""school_name"": ""Norwood International High School"", ""school_distance"": ""1.4 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""1.5 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",850000,AULDANA,5072,900000.0,900.0,1.9230769230769231
2218,706.0,2.0,5.0,4.0,"Wednesday, 5:30pm","$900,000 to $990,000",House,Chris Dimitrak,"[{""school_name"": ""East Torrens Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-torrens-primary-school-sa-5073-7002""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""3.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.7 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}]",850000,HECTORVILLE,5073,945000.0,945.0,1.338526912181303
2219,298.0,2.0,4.0,2.0,Organise an inspection,"From $879,000",New House & Land,Jason Loizou,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.3 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",850000,ATHELSTONE,5076,879000.0,879.0,2.9496644295302015
2220,432.0,2.0,3.0,2.0,Organise an inspection,$875k FIXED PRICE PACKAGE!,New House & Land,Jason Loizou,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",850000,ATHELSTONE,5076,875000.0,875.0,2.025462962962963
2221,348.0,2.0,3.0,2.0,Organise an inspection,"$898,000-$948,000",Vacant land,Greg Nicholls,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""1.9 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",850000,PARADISE,5075,923000.0,923.0,2.6522988505747125
2222,396.0,2.0,3.0,2.0,Organise an inspection,"From $860,000",New House & Land,Dimitri Raftopoulos,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",850000,ATHELSTONE,5076,860000.0,860.0,2.1717171717171717
2225,396.0,1.0,3.0,2.0,Organise an inspection,$899k - $949k,Townhouse,Jarrod Leow,"[{""school_name"": ""Adelaide Botanic High School"", ""school_distance"": ""4.7 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-botanic-high-school-sa-5000-52576""}, {""school_name"": ""Adelaide High School"", ""school_distance"": ""5.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-high-school-sa-5000-6804""}, {""school_name"": ""Prospect Primary School"", ""school_distance"": ""0.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/prospect-primary-school-sa-5082-6864""}]",850000,PROSPECT,5082,924000.0,924.0,2.3333333333333335
2226,429.0,2.0,3.0,2.0,"Saturday, 12:00pm",$890k,House,Danielle Pope,"[{""school_name"": ""Vale Park Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/vale-park-primary-school-sa-5081-7456""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""4.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""1.5 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",850000,VALE PARK,5081,890000.0,890.0,2.0745920745920747
2228,347.0,3.0,4.0,2.0,Organise an inspection,"$900,000 - $990,000",House,John Riggall,"[{""school_name"": ""Vale Park Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/vale-park-primary-school-sa-5081-7456""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""4.2 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",850000,VALE PARK,5081,945000.0,945.0,2.723342939481268
2234,347.0,2.0,3.0,1.0,Organise an inspection,"$880,000 - $920,000",Townhouse,Jarrod Leow,"[{""school_name"": ""Avenues College"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.4 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",850000,WINDSOR GARDENS,5087,900000.0,900.0,2.5936599423631126
2235,413.0,2.0,5.0,4.0,Organise an inspection,"$880,000 - $925,000",House,Jimmy Wu,"[{""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Cedar College"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/cedar-college-sa-5085-6963""}]",850000,LIGHTSVIEW,5085,902500.0,902.5,2.185230024213075
2236,716.0,2.0,4.0,2.0,Organise an inspection,"Back To Market!!! $900,000 - $910,000",House,Oliver Feng,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",850000,MANNINGHAM,5086,905000.0,905.0,1.2639664804469273
2281,312.0,2.0,3.0,1.0,Organise an inspection,"$939,000 - $959,000",House,Andrew Kyriacou,"[{""school_name"": ""Trinity Gardens School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/trinity-gardens-primary-school-sa-5068-6865""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""3.1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Marryatville High School"", ""school_distance"": ""3.1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/marryatville-high-school-sa-5068-6807""}]",900000,PAYNEHAM,5070,949000.0,949.0,3.0416666666666665
2285,345.0,3.0,4.0,2.0,Organise an inspection,"$950,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Stradbroke School"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/stradbroke-junior-primary-school-sa-5073-7414""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.3 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}]",900000,ROSTREVOR,5073,950000.0,950.0,2.753623188405797
2286,412.0,2.0,3.0,2.0,Organise an inspection,"$950,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",900000,CAMPBELLTOWN,5074,950000.0,950.0,2.3058252427184467
2287,677.0,2.0,5.0,2.0,Organise an inspection,"Auction $950,000",House,Paul Leombruno,"[{""school_name"": ""Paradise Primary School"", ""school_distance"": ""0.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/paradise-primary-school-sa-5075-7270""}, {""school_name"": ""Avenues College"", ""school_distance"": ""2.5 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.6 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",900000,DERNANCOURT,5075,950000.0,950.0,1.4032496307237814
2288,283.0,3.0,5.0,2.0,Organise an inspection,"$950,000",Townhouse,Peggie Sim,"[{""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""0.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.8 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}]",900000,NEWTON,5074,950000.0,950.0,3.3568904593639575
2290,300.0,2.0,3.0,1.0,Organise an inspection,"$920,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Vale Park Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/vale-park-primary-school-sa-5081-7456""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""4.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",900000,VALE PARK,5081,920000.0,920.0,3.066666666666667
2292,448.0,2.0,4.0,4.0,Organise an inspection,"From $920,000",House,Jason Loizou,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.7 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}, {""school_name"": ""Hampstead Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}]",900000,BROADVIEW,5083,920000.0,920.0,2.0535714285714284
2349,883.0,1.0,3.0,3.0,Organise an inspection,"$980,000 - $1,050,000",Vacant land,Clint Ray,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}, {""school_name"": ""Hampstead Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}]",950000,BROADVIEW,5083,1015000.0,1015.0,1.1494903737259343
2352,369.0,3.0,4.0,2.0,Organise an inspection,"House and Land from $998,866",New House & Land,,"[{""school_name"": ""Klemzig Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.6 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.4 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",950000,WINDSOR GARDENS,5087,998866.0,998.866,2.7069539295392953
2354,512.0,3.0,4.0,2.0,Organise an inspection,"$975,000 - $990,000",House,,"[{""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Cedar College"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/cedar-college-sa-5085-6963""}]",950000,NORTHGATE,5085,982500.0,982.5,1.9189453125
2392,457.0,2.0,3.0,1.0,Organise an inspection,"$1,100,000 Per Allotment",Vacant land,Jake Theo,"[{""school_name"": ""East Adelaide School"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-adelaide-school-sa-5069-6815""}, {""school_name"": ""Walkerville Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/walkerville-primary-school-sa-5081-6833""}, {""school_name"": ""Marryatville High School"", ""school_distance"": ""4.1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/marryatville-high-school-sa-5068-6807""}]",1000000,ROYSTON PARK,5070,1100000.0,1100.0,2.4070021881838075
2395,345.0,2.0,3.0,1.0,Organise an inspection,"$1,100,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Stradbroke School"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/stradbroke-junior-primary-school-sa-5073-7414""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.3 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}]",1000000,ROSTREVOR,5073,1100000.0,1100.0,3.1884057971014492
2396,345.0,2.0,4.0,2.0,"Saturday, 10:00am",$1.09m-$1.199m,Apartment / Unit / Flat,Scott Moon,"[{""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Magill School"", ""school_distance"": ""1.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/magill-primary-school-sa-5072-7165""}, {""school_name"": ""Norwood International High School"", ""school_distance"": ""1.9 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}]",1000000,WOODFORDE,5072,599500.5,599.5005,1.737682608695652
2397,690.0,3.0,6.0,8.0,"Saturday, 1:00pm","$1,100,000",House,Paul Arnold,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""1.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""3.8 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Modbury High School"", ""school_distance"": ""3.7 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-high-school-sa-5092-6855""}]",1000000,ATHELSTONE,5076,1100000.0,1100.0,1.5942028985507246
2405,356.0,2.0,3.0,2.0,Organise an inspection,"$1,100,000",House,William Csorba,"[{""school_name"": ""Vale Park Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/vale-park-primary-school-sa-5081-7456""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""4.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",1000000,VALE PARK,5081,1100000.0,1100.0,3.0898876404494384
